"X_UWI_DISPLAY","UWI.x","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME","peak_CGR","CGR_longterm","CGR_1","CGR_2","CGR_3","CGR_6","CGR_12","CGR_18","CGR_24"
"00/01-01-059-21W5/4","100010105921W504",54.069091,-117.019401,2654.05,3631,2011-12-21,2011-11-07,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","APACHE CANADA LTD.",4.09285492137678,,0,0,0,0,0,0,0
"00/01-01-060-20W5/0","100010106020W500",54.154618,-116.876101,2398.45,3968,2010-04-08,2010-02-12,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",16.4267660969846,,10.2124042915798,11.4760058713296,3.63600528230914,3.76722725395081,5.12692077015901,3.04654582242642,3.87954087250841
"00/01-01-064-18W5/0","100010106418W500",54.506173,-116.596561,1825.75,3657,2012-04-07,2012-03-22,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",2117.51645669477,,1639.32968952499,709.830833189281,602.398781268449,607.783730903275,524.533949399899,290.243374623047,410.476812982476
"00/01-01-064-19W5/0","100010106419W500",54.517005,-116.730282,1831.72,3534,2014-11-20,2014-10-24,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",601.239444896119,,363.944291225809,275.86032039243,225.786014089213,236.396491120684,,,
"00/01-01-077-21W5/0","100010107721W500",55.640611,-117.115901,989.89,1659,2008-11-07,2008-10-21,"Horizontal","MONTNEY A","LONG RUN EXPLORATION LTD.",30.0260673492194,,23.5174833841418,16.0135155010263,25.0632001772591,20.4021695290234,17.3793612240228,14.5365457894292,4.626825465739
"00/01-02-064-23W5/0","100010206423W500",54.507113,-117.378469,2134.92,3817,2012-01-26,2012-01-15,"Horizontal","MONTNEY F","RMP ENERGY INC.",559.350291087605,,175.216320783446,196.688139540974,292.963872131046,104.798645173339,155.508548153583,136.241778166893,140.830526558782
"00/01-02-066-24W5/0","100010206624W500",54.679497,-117.532364,2138.78,3583,2010-10-01,2010-09-03,"Horizontal","MONTNEY Q","CANADIAN NATURAL RESOURCES LIMITED",2022.60877506252,,385.655043713883,168.22730983082,135.574347878922,,,,
"00/01-03-064-23W5/0","100010306423W500",54.503774,-117.407887,2217,3953,2011-11-06,2011-09-12,"Horizontal","MONTNEY F","RMP ENERGY INC.",920.708092733371,,636.405761169677,556.104849448239,377.767745875163,326.094010872762,378.164278092014,402.744125767735,917.775718242057
"00/01-03-067-24W5/0","100010306724W500",54.766899,-117.585063,1889.92,3303,2012-02-01,2011-11-19,"Horizontal","TRIASSIC E","CANADIAN NATURAL RESOURCES LIMITED",70.8155227800928,,23.9824644413416,37.240696189822,29.7076909651886,32.4553594128768,16.4864610289399,42.8529329459109,28.7482911737701
"00/01-04-069-21W5/2","100010406921W502",54.942388,-117.141206,1516.18,2252,2013-04-09,2010-02-08,"Horizontal","TRIASSIC A","CANADIAN NATURAL RESOURCES LIMITED",2208.27702190186,,682.576710930799,436.331466067611,401.048361027661,,,,
"00/01-05-059-19W5/0","100010505919W500",54.078311,-116.802367,2330.49,3470,2008-09-11,2008-09-03,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","XTO ENERGY CANADA",50.8077204814682,,15.4309827962694,10.9213317603815,15.4862909783349,21.864604712655,0,0,0
"00/01-05-059-20W5/0","100010505920W500",54.06685,-116.978852,2655.29,4337,2010-11-06,2010-08-30,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",354.414830675607,,6.02601201720488,5.308982937946,5.22276249961469,5.45813394264282,9.39736293458049,5.30788150348577,7.94143346584267
"00/01-05-060-01W6/2","100010506001W602",54.168871,-118.102569,3522.63,5300,2011-12-21,2011-12-02,"Horizontal","MONTNEY B","XTO ENERGY CANADA",49.3889117440924,,0,0,0,0,0,0,0
"00/01-05-063-03W6/0","100010506303W600",54.426589,-118.430571,3163.69,4944,2014-12-15,2014-02-25,"Horizontal","MONTNEY UNDEFINED","SEVEN GENERATIONS ENERGY LTD.",711.343241710616,,0,0,0,0,,,
"00/01-06-062-26W5/0","100010606226W500",54.313757,-117.854791,2900.05,5078,2015-01-04,2014-11-16,"Horizontal","MONTNEY UNDEFINED","CEQUENCE ENERGY LTD.",52.9262477007644,,0,0,0,0,0,,
"00/01-06-065-17W5/0","100010606517W500",54.602114,-116.573985,1740.07,3729,2013-02-01,2013-01-13,"Horizontal","TRIASSIC S","ATHABASCA OIL SANDS CORP.",1623.18755784308,,940.247057216521,851.077790669995,792.600439510903,1147.62897552101,654.304302785736,346.874089597403,398.373259286535
"00/01-07-064-18W5/0","100010706418W500",54.530035,-116.704137,1843.39,3670,2012-10-08,2012-09-22,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",1039.90853609756,,801.404085753038,594.252564496715,594.455296672755,308.146086924616,163.348886702411,112.361799630595,81.6426016347786
"00/01-08-064-18W5/0","100010806418W500",54.532092,-116.68013,1845.82,3640,2012-01-13,2011-11-04,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",997.060949060879,,652.886444465375,754.53695330731,486.34850507473,239.550465637482,332.328109343649,283.97488307883,145.652566135415
"00/01-08-067-24W5/0","100010806724W500",54.789109,-117.603669,1883.1,3217,2012-04-07,2011-11-12,"Horizontal","TRIASSIC E","ARC RESOURCES LTD.",267.047453811388,,232.81884811861,190.700365744235,178.781193449152,,,,
"00/01-09-064-18W5/0","100010906418W500",54.531098,-116.652813,1843.88,3599,2012-02-27,2012-02-11,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",195636.986532935,,2543.32314311689,881.466250499749,592.737454013948,486.573408910675,551.504053587896,618.903510284269,616.45558314321
"00/01-09-069-25W5/2","100010906925W502",54.973211,-117.750047,1786.26,3697,2015-03-01,2014-12-16,"Horizontal","TRIASSIC F","NAL RESOURCES LIMITED",460.485219067769,,373.933328596872,267.519734449356,373.155641668494,245.364113544651,,,
"00/01-10-060-19W5/0","100011006019W500",54.175764,-116.77055,2227.16,3420,2008-06-21,2008-05-11,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","XTO ENERGY CANADA",0.01,,0,0,0,0,0,0,0
"00/01-10-060-20W5/3","100011006020W503",54.17084,-116.918861,2350.93,3349.2,2009-02-11,2009-01-29,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","XTO ENERGY CANADA",7.29916127249534,,5.17579714417334,4.56486959909403,4.11121203583704,2.16532513814423,0,0,0
"00/01-10-067-24W5/0","100011006724W500",54.787914,-117.582031,1879.78,3255,2011-04-04,2011-03-02,"Horizontal","TRIASSIC E","ARC RESOURCES LTD.",813.316971042835,,422.843902304657,328.379062174619,398.958771143033,86.7616347443924,91.5267165816903,123.461906140523,145.993349113253
"00/01-11-060-22W5/0","100011106022W500",54.166974,-117.222464,2646.74,5572,2012-03-24,2012-02-12,"Horizontal","TRIASSIC XX","XTO ENERGY CANADA",41.7319627462187,,40.6686330173398,28.6573047906019,0,0,0,0,0
"00/01-11-061-27W5/0","100011106127W500",54.268796,-117.943751,3105.62,5027,2012-02-05,2012-01-21,"Horizontal","MONTNEY F","CEQUENCE ENERGY LTD.",6822.48549050544,,12.7991598352326,17.2401082138783,6.71421871374628,7.91336188550953,6.39323700108634,15.0696069736085,0
"00/01-11-064-18W5/0","100011106418W500",54.531085,-116.603413,1836.56,3582,2011-10-17,2011-09-24,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",8062.93739787006,,3351.37537520616,930.338930523469,3688.27700456415,511.499792257103,219.229026695481,465.544904701009,315.303657263176
"00/01-11-077-21W5/0","100011107721W500",55.651384,-117.152385,965.11,2114,2009-08-26,2009-08-17,"Horizontal","MONTNEY A","LONG RUN EXPLORATION LTD.",28.1688087964717,,28.0102043598464,20.6184728537696,17.9059757658408,14.3681688111733,12.4045190736463,6.94931040540406,
"00/01-12-064-18W5/0","100011206418W500",54.51339,-116.602237,1827.63,3507,2010-11-05,2010-10-27,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",1615.11901407884,,336.231233952512,433.002467042807,364.516916110541,166.500487440861,170.404508943749,102.019576883328,186.685951507035
"00/01-13-059-20W5/0","100011305920W500",54.098621,-116.875674,2573.47,3960,2010-11-01,2010-11-04,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","CANADIAN NATURAL RESOURCES LIMITED",26.2194645142668,,12.4305364755719,13.9833684986789,11.6028664804514,,,,
"00/01-14-059-20W5/0","100011405920W500",54.108425,-116.881033,2581.04,4045,2009-11-04,2009-10-26,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",26.8896824268806,,8.1544180575278,14.1623486983528,7.95720654776546,11.6935950370645,4.64867301515749,4.8279840709839,15.1147501317538
"00/01-14-066-25W5/0","100011406625W500",54.694058,-117.660934,2022.42,3433,2012-07-12,2012-03-07,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD.",145.437388020988,,105.580498130236,106.446978098335,125.127053328918,100.36807555317,65.0436371171251,73.7418821828248,82.3753291252828
"00/01-15-060-19W5/0","100011506019W500",54.195148,-116.759373,2321.45,3712,2014-12-06,2014-08-29,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","RMP ENERGY INC.",0.01,,0,0,0,0,,,
"00/01-15-061-03W6/2","100011506103W602",54.284522,-118.352624,3585.06,5296,2012-03-29,2012-02-16,"Horizontal","MONTNEY N","XTO ENERGY CANADA",27.9212460680346,,21.7479640870723,24.2236743063232,13.9704886792093,0,0,0,0.0938598598187519
"00/01-15-076-20W5/0","100011507620W500",55.578643,-117.018008,1069.58,2020,2011-06-11,2011-02-14,"Horizontal","MONTNEY A","LONG RUN EXPLORATION LTD.",58.2068152569428,,10.6324449202682,14.0640805823654,10.3630067449008,9.18853264714537,,,
"00/01-15-077-21W5/0","100011507721W500",55.67024,-117.170373,953.65,1815,2008-09-08,2008-08-07,"Horizontal","MONTNEY A","LONG RUN EXPLORATION LTD.",83.114982415076,,35.2846623460228,50.1530420767369,20.6055134113725,25.6484416936295,51.390150447963,39.1901014689373,58.3214278326948
"00/01-16-059-20W5/0","100011605920W500",54.11014,-116.926162,2577.1,4021,2010-10-08,2010-07-28,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",16.7849437830443,,3.95888906605731,11.4553606221008,11.4007567909636,11.5779799494754,,,
"00/01-16-067-24W5/0","100011606724W500",54.803505,-117.580054,1885.75,3041,2010-10-06,2010-08-19,"Horizontal","TRIASSIC E","ARC RESOURCES LTD.",2682.72337108619,,745.22902233952,804.630869082856,741.787374715927,795.359034726864,78.5834117365037,55.2168033298953,
"00/01-16-077-21W5/0","100011607721W500",55.678499,-117.185125,956.67,2109,2009-01-26,2009-01-22,"Horizontal","MONTNEY A","LONG RUN EXPLORATION LTD.",108.440358639551,,93.9245569545016,84.6560177232576,72.8398578382383,64.4390601228377,37.3505090875933,23.5450411987291,18.4023085158488
"00/01-17-059-19W5/0","100011705919W500",54.107831,-116.805034,2415.29,3490,2008-12-30,2008-12-18,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",59.2161680375859,,0,5.28050142110896,35.5231454709422,1.36313396413695,5.01057724800576,13.5791122864217,14.0164057329336
"00/01-17-060-19W5/0","100011706019W500",54.195957,-116.806733,2282.32,3488,2008-03-10,2008-03-04,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","XTO ENERGY CANADA",0.01,,0,0,0,0,0,0,0
"00/01-19-059-19W5/0","100011905919W500",54.110863,-116.853814,2526.42,4279,2011-02-20,2011-01-31,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",19.0413513881175,,8.52414076985693,13.7893187431735,11.7101976217379,7.78933693792543,,,
"00/01-19-061-18W5/0","100011906118W500",54.293166,-116.706649,2154.55,4124,2011-03-05,2011-02-09,"Horizontal","MONTNEY UNDEFINED","TAQA NORTH LTD.",585.55493763796,,,,,,,,
"00/01-19-064-18W5/0","100011906418W500",54.561467,-116.705357,1793.69,3629,2014-04-23,2014-04-14,"Horizontal","TRIASSIC G","TRILOGY RESOURCES LTD",1175.61992614348,,407.06341059481,291.126468054963,273.374854149173,182.299582445212,,,
"00/01-19-067-26W5/2","100011906726W502",54.819882,-117.965756,2199.83,3988,2015-03-11,2014-10-10,"Horizontal","MONTNEY X","ARC RESOURCES LTD.",1058.64170201805,,190.474280657211,327.422972710246,,,,,
"00/01-20-059-19W5/0","100012005919W500",54.112537,-116.825399,2433.54,4320,2014-04-12,2014-04-02,"Horizontal","CMG MFP9529 - BLUE HH,GETH M5M,NORD D,TRIASS N,MFP8588 MONT","TRILOGY RESOURCES LTD",12.436715647149,,9.75826684842972,8.75098347347178,7.83325516603732,6.67707366404403,10.3478782679009,,
