"","x"
"1","00/01-10-067-24W5/0"
"2","00/01-11-064-18W5/0"
"3","00/01-17-059-19W5/0"
"4","00/01-19-067-26W5/2"
"5","00/01-21-064-18W5/0"
"6","00/01-25-066-24W5/0"
"7","00/01-28-061-26W5/0"
"8","00/01-32-060-18W5/0"
"9","00/01-32-064-18W5/0"
"10","00/02-11-062-23W5/2"
"11","00/03-07-069-24W5/0"
"12","00/03-11-062-23W5/0"
"13","00/04-04-059-19W5/0"
"14","00/04-09-063-20W5/0"
"15","00/04-11-057-27W5/2"
"16","00/04-15-060-19W5/0"
"17","00/05-14-060-26W5/0"
"18","00/05-35-065-23W5/2"
"19","00/08-20-060-23W5/0"
"20","00/09-13-075-20W5/0"
"21","00/09-22-066-24W5/0"
"22","00/09-23-058-21W5/0"
"23","00/09-25-066-24W5/0"
"24","00/09-28-061-26W5/0"
"25","00/12-29-063-25W5/0"
"26","00/13-01-066-24W5/2"
"27","00/13-05-064-23W5/0"
"28","00/13-21-066-24W5/2"
"29","00/13-23-066-24W5/3"
"30","00/13-25-063-23W5/3"
"31","00/13-31-065-23W5/0"
"32","00/14-18-064-18W5/3"
"33","00/14-22-069-25W5/0"
"34","00/14-28-069-25W5/0"
"35","00/15-16-067-24W5/0"
"36","00/15-19-066-23W5/0"
"37","00/15-24-061-27W5/0"
"38","00/15-31-071-25W5/0"
"39","00/16-06-066-23W5/0"
"40","00/16-06-073-25W5/0"
"41","00/16-10-062-23W5/0"
"42","00/16-11-062-25W5/0"
"43","00/16-15-064-18W5/0"
"44","00/16-23-059-20W5/0"
"45","00/16-25-066-24W5/0"
"46","02/01-10-064-18W5/0"
"47","02/01-25-066-24W5/0"
"48","02/03-21-064-18W5/2"
"49","02/04-01-067-24W5/0"
"50","02/04-07-064-23W5/0"
"51","02/04-26-065-24W5/0"
"52","02/08-12-069-22W5/0"
"53","02/08-30-057-27W5/2"
"54","02/09-23-069-25W5/0"
"55","02/11-05-067-24W5/0"
"56","02/12-06-064-18W5/0"
"57","02/12-14-069-25W5/0"
"58","02/13-12-069-22W5/0"
"59","02/15-16-069-25W5/0"
"60","02/16-28-066-25W5/0"
"61","03/16-28-075-20W5/0"
"62","00/01-05-063-03W6/0"
"63","00/01-11-063-06W6/0"
"64","00/01-13-070-10W6/0"
"65","00/01-14-063-06W6/2"
"66","00/01-17-078-21W5/0"
"67","00/02-01-066-06W6/0"
"68","00/02-09-069-08W6/0"
"69","00/02-13-064-05W6/0"
"70","00/03-09-078-21W5/0"
"71","00/03-36-064-06W6/0"
"72","00/04-07-063-05W6/0"
"73","00/04-08-061-02W6/0"
"74","00/04-20-077-21W5/0"
"75","00/04-22-063-05W6/0"
"76","00/05-11-064-05W6/0"
"77","00/05-16-078-21W5/0"
"78","00/05-23-063-06W6/2"
"79","00/05-30-063-03W6/0"
"80","00/05-32-067-06W6/0"
"81","00/05-33-066-06W6/0"
"82","00/07-21-077-21W5/0"
"83","00/07-24-070-09W6/0"
"84","00/07-35-062-03W6/3"
"85","00/08-02-076-21W5/0"
"86","00/08-08-064-05W6/0"
"87","00/08-20-063-05W6/0"
"88","00/09-04-076-20W5/0"
"89","00/09-20-063-05W6/0"
"90","00/09-25-070-09W6/0"
"91","00/09-28-081-25W5/0"
"92","00/11-12-064-05W6/0"
"93","00/12-17-077-21W5/0"
"94","00/12-21-063-04W6/0"
"95","00/12-32-064-05W6/0"
"96","00/13-07-066-05W6/0"
"97","00/13-08-066-05W6/0"
"98","00/13-18-076-20W5/0"
"99","00/13-21-058-01W6/3"
"100","00/13-25-066-05W6/0"
"101","00/13-26-063-05W6/0"
"102","00/13-32-067-04W6/0"
"103","00/14-12-064-05W6/0"
"104","00/14-18-063-04W6/0"
"105","00/14-18-064-04W6/0"
"106","00/14-22-065-06W6/0"
"107","00/14-25-063-06W6/0"
"108","00/14-34-067-04W6/0"
"109","00/14-34-070-09W6/0"
"110","00/15-01-064-05W6/0"
"111","00/15-14-066-05W6/0"
"112","00/15-27-066-06W6/0"
"113","00/15-29-083-23W5/0"
"114","00/16-01-064-05W6/0"
"115","00/16-01-068-07W6/0"
"116","00/16-08-076-20W5/0"
"117","00/16-26-066-05W6/0"
"118","00/16-27-076-21W5/0"
"119","02/01-13-064-05W6/0"
"120","02/01-27-063-04W6/0"
"121","02/02-13-064-05W6/0"
"122","02/02-30-079-22W5/0"
"123","02/04-24-063-05W6/0"
"124","02/04-28-063-04W6/0"
"125","02/05-22-063-05W6/0"
"126","02/05-32-067-06W6/0"
"127","02/06-10-064-05W6/0"
"128","02/07-06-064-03W6/0"
"129","02/07-27-063-05W6/0"
"130","02/08-11-071-09W6/0"
"131","02/08-25-070-09W6/0"
"132","02/11-01-064-05W6/0"
"133","02/13-25-064-06W6/0"
"134","02/13-26-063-05W6/0"
"135","02/15-09-078-21W5/0"
"136","02/15-28-063-04W6/0"
"137","02/16-01-064-05W6/0"
"138","02/16-15-066-05W6/0"
"139","03/01-12-064-05W6/0"
"140","03/01-13-064-05W6/0"
"141","03/09-27-066-07W6/0"
"142","03/13-07-063-04W6/0"
"143","03/15-12-064-05W6/0"
"144","04/15-12-064-05W6/0"
"145","06/04-22-064-05W6/0"
"146","00/01-01-077-14W6/0"
"147","00/01-05-077-12W6/0"
"148","00/01-06-076-13W6/0"
"149","00/01-27-076-12W6/0"
"150","00/01-34-076-12W6/0"
"151","00/02-15-072-09W6/0"
"152","00/02-21-077-15W6/0"
"153","00/02-29-077-10W6/0"
"154","00/03-14-071-09W6/0"
"155","00/03-28-074-08W6/0"
"156","00/03-29-077-10W6/0"
"157","00/04-17-077-14W6/0"
"158","00/05-19-071-09W6/0"
"159","00/08-06-077-14W6/0"
"160","00/08-17-076-13W6/0"
"161","00/08-29-076-09W6/0"
"162","00/08-33-076-12W6/0"
"163","00/12-03-078-11W6/0"
"164","00/12-25-071-09W6/0"
"165","00/12-25-077-12W6/0"
"166","00/12-29-071-10W6/0"
"167","00/13-07-077-07W6/3"
"168","00/13-14-075-13W6/0"
