"","x"
"1","00/01-01-065-18W5/2"
"2","00/01-02-066-24W5/0"
"3","00/01-03-064-23W5/0"
"4","00/01-03-067-24W5/0"
"5","00/01-04-065-18W5/2"
"6","00/01-06-065-17W5/0"
"7","00/01-10-060-20W5/3"
"8","00/01-11-061-27W5/0"
"9","00/01-13-059-20W5/0"
"10","00/01-14-059-20W5/0"
"11","00/01-19-061-18W5/0"
"12","00/01-19-064-18W5/0"
"13","00/01-23-064-25W5/0"
"14","00/01-25-064-18W5/0"
"15","00/01-26-063-23W5/0"
"16","00/01-27-066-25W5/0"
"17","00/01-31-061-26W5/2"
"18","00/01-32-065-25W5/0"
"19","00/01-33-066-24W5/0"
"20","00/02-06-060-19W5/0"
"21","00/02-07-060-22W5/0"
"22","00/02-09-067-24W5/0"
"23","00/02-22-064-18W5/0"
"24","00/02-23-064-18W5/0"
"25","00/02-28-061-26W5/0"
"26","00/02-36-061-18W5/0"
"27","00/02-36-065-25W5/0"
"28","00/03-08-067-24W5/0"
"29","00/03-11-060-20W5/0"
"30","00/03-13-063-26W5/0"
"31","00/03-21-061-26W5/0"
"32","00/03-22-066-25W5/2"
"33","00/03-26-059-23W5/0"
"34","00/03-26-063-25W5/0"
"35","00/04-01-067-24W5/0"
"36","00/04-04-062-26W5/2"
"37","00/04-08-059-20W5/0"
"38","00/04-09-064-18W5/0"
"39","00/04-11-064-18W5/0"
"40","00/04-13-066-24W5/2"
"41","00/04-15-063-20W5/0"
"42","00/04-17-064-18W5/0"
"43","00/04-17-067-23W5/0"
"44","00/04-18-059-19W5/0"
"45","00/04-21-063-20W5/0"
"46","00/04-27-064-18W5/0"
"47","00/04-27-066-24W5/0"
"48","00/04-28-060-23W5/0"
"49","00/04-30-064-17W5/0"
"50","00/04-30-065-23W5/2"
"51","00/04-33-060-18W5/0"
"52","00/04-34-066-24W5/0"
"53","00/04-35-066-25W5/0"
"54","00/05-02-060-23W5/0"
"55","00/05-03-064-23W5/0"
"56","00/05-11-062-27W5/2"
"57","00/05-13-065-25W5/0"
"58","00/05-18-059-19W5/0"
"59","00/05-20-064-18W5/0"
"60","00/05-24-063-23W5/0"
"61","00/05-32-075-20W5/0"
"62","00/05-34-066-25W5/0"
"63","00/05-35-059-20W5/0"
"64","00/05-36-066-24W5/0"
"65","00/06-06-060-19W5/0"
"66","00/06-20-066-25W5/0"
"67","00/06-22-068-25W5/2"
"68","00/06-23-064-18W5/0"
"69","00/06-23-065-25W5/0"
"70","00/06-25-065-25W5/0"
"71","00/07-10-062-27W5/0"
"72","00/07-17-060-22W5/0"
"73","00/08-02-060-22W5/0"
"74","00/08-02-064-23W5/0"
"75","00/08-03-064-23W5/0"
"76","00/08-05-059-20W5/0"
"77","00/08-05-067-23W5/0"
"78","00/08-05-069-21W5/0"
"79","00/08-13-066-25W5/0"
"80","00/08-17-067-24W5/0"
"81","00/08-19-059-19W5/0"
"82","00/08-21-060-22W5/0"
"83","00/08-27-059-22W5/3"
"84","00/08-30-066-24W5/0"
"85","00/09-02-064-23W5/2"
"86","00/09-03-064-18W5/0"
"87","00/09-06-060-20W5/2"
"88","00/09-10-064-19W5/0"
"89","00/09-12-067-24W5/0"
"90","00/09-13-059-20W5/0"
"91","00/09-13-066-25W5/0"
"92","00/09-16-062-23W5/0"
"93","00/09-20-064-25W5/0"
"94","00/09-23-069-25W5/0"
"95","00/09-26-063-23W5/0"
"96","00/09-26-066-24W5/0"
"97","00/09-34-060-18W5/0"
"98","00/09-36-059-20W5/0"
"99","00/09-36-063-23W5/0"
"100","00/10-02-066-25W5/0"
"101","00/10-04-061-25W5/0"
"102","00/10-27-060-23W5/0"
"103","00/11-05-067-24W5/0"
"104","00/11-31-064-18W5/0"
"105","00/12-04-062-24W5/3"
"106","00/12-17-064-18W5/0"
"107","00/12-20-064-18W5/0"
"108","00/12-24-063-23W5/0"
"109","00/12-27-060-23W5/0"
"110","00/12-27-064-18W5/0"
"111","00/12-27-066-24W5/0"
"112","00/12-31-075-20W5/0"
"113","00/12-33-059-22W5/3"
"114","00/12-34-066-24W5/0"
"115","00/13-01-062-27W5/2"
"116","00/13-03-062-27W5/0"
"117","00/13-08-064-23W5/0"
"118","00/13-11-064-23W5/0"
"119","00/13-12-063-20W5/2"
"120","00/13-17-064-18W5/0"
"121","00/13-23-073-23W5/0"
"122","00/13-26-059-20W5/0"
"123","00/13-30-058-19W5/0"
"124","00/13-30-071-25W5/2"
"125","00/13-31-075-20W5/0"
"126","00/13-34-066-24W5/0"
"127","00/14-01-061-27W5/0"
"128","00/14-04-064-18W5/0"
"129","00/14-15-064-18W5/0"
"130","00/14-16-067-24W5/0"
"131","00/14-23-060-23W5/0"
"132","00/14-23-066-25W5/0"
"133","00/14-23-075-20W5/0"
"134","00/14-24-059-20W5/0"
"135","00/14-29-060-22W5/0"
"136","00/15-02-066-25W5/0"
"137","00/15-04-064-18W5/0"
"138","00/15-10-060-23W5/0"
"139","00/15-12-060-20W5/0"
"140","00/15-18-068-24W5/0"
"141","00/15-23-059-20W5/0"
"142","00/15-23-066-25W5/3"
"143","00/15-23-069-25W5/0"
"144","00/15-31-065-24W5/0"
"145","00/15-32-060-22W5/0"
"146","00/15-33-066-25W5/0"
"147","00/16-04-064-23W5/0"
"148","00/16-05-064-18W5/0"
"149","00/16-12-060-20W5/0"
"150","00/16-12-064-26W5/0"
"151","00/16-13-059-20W5/0"
"152","00/16-14-065-24W5/0"
"153","00/16-16-064-18W5/0"
"154","00/16-22-066-24W5/0"
"155","00/16-23-060-23W5/0"
"156","00/16-24-058-27W5/2"
"157","00/16-26-062-26W5/0"
"158","00/16-27-060-23W5/0"
"159","00/16-31-065-24W5/0"
"160","00/16-34-060-18W5/0"
"161","00/16-34-063-18W5/0"
"162","00/16-35-063-23W5/0"
"163","00/16-35-071-26W5/2"
"164","00/16-36-059-20W5/0"
"165","00/16-36-061-18W5/0"
"166","00/16-36-064-25W5/0"
"167","02/01-07-064-18W5/0"
"168","02/01-08-064-18W5/0"
"169","02/02-02-063-25W5/0"
"170","02/02-08-064-18W5/0"
"171","02/02-10-064-18W5/0"
"172","02/03-06-067-24W5/0"
"173","02/03-08-064-18W5/2"
"174","02/03-10-064-18W5/0"
"175","02/03-31-069-19W5/0"
"176","02/04-09-067-24W5/0"
"177","02/04-10-064-18W5/0"
"178","02/04-13-065-24W5/0"
"179","02/04-35-059-20W5/0"
"180","02/05-02-060-20W5/2"
"181","02/05-10-066-25W5/0"
"182","02/05-18-066-24W5/0"
"183","02/05-26-066-24W5/0"
"184","02/05-28-069-25W5/0"
"185","02/06-24-066-25W5/0"
"186","02/07-07-066-24W5/0"
