"","x"
"1","00/01-27-061-26W5/2"
"2","00/04-02-059-21W5/0"
"3","00/05-23-057-27W5/0"
"4","00/05-33-061-18W5/0"
"5","00/06-07-069-21W5/0"
"6","00/12-36-058-20W5/0"
"7","00/13-27-058-21W5/0"
"8","00/14-24-061-27W5/0"
"9","00/16-11-060-19W5/0"
"10","02/01-36-059-20W5/0"
"11","02/16-12-059-21W5/0"
"12","05/01-12-069-22W5/0"
"13","00/01-21-068-08W6/0"
"14","00/01-28-064-05W6/0"
"15","00/03-05-064-03W6/3"
"16","00/03-10-066-05W6/3"
"17","00/03-19-063-03W6/2"
"18","00/04-19-063-05W6/0"
"19","00/04-26-065-06W6/0"
"20","00/05-11-066-06W6/0"
"21","00/06-35-063-05W6/0"
"22","00/08-11-063-06W6/0"
"23","00/08-12-068-07W6/0"
"24","00/12-02-066-06W6/0"
"25","00/13-29-070-09W6/0"
"26","00/13-34-070-09W6/0"
"27","00/14-25-064-06W6/0"
"28","00/15-24-066-06W6/0"
"29","00/15-24-066-07W6/0"
"30","00/15-25-063-06W6/0"
"31","00/15-33-062-04W6/2"
"32","00/16-07-066-05W6/0"
"33","00/16-27-065-06W6/0"
"34","00/16-27-067-07W6/2"
"35","00/16-34-065-06W6/0"
"36","02/01-02-064-04W6/0"
"37","02/01-09-069-08W6/0"
"38","02/02-18-063-05W6/0"
"39","02/12-07-063-04W6/0"
"40","02/12-24-063-05W6/0"
"41","03/03-35-063-05W6/0"
"42","03/15-31-070-09W6/0"
"43","04/04-13-070-09W6/0"
"44","05/07-08-064-05W6/0"
"45","00/01-18-075-12W6/0"
"46","00/02-16-075-13W6/0"
"47","00/08-01-078-11W6/0"
"48","00/09-09-076-13W6/0"
"49","00/09-12-076-04W6/2"
"50","00/16-26-078-17W6/0"
"51","02/15-13-071-10W6/0"
"52","03/08-16-076-12W6/0"
"53","00/01-01-080-15W6/0"
"54","00/01-19-079-14W6/0"
"55","00/02-05-079-15W6/2"
"56","00/03-28-080-18W6/0"
"57","00/04-16-079-14W6/0"
"58","00/04-18-080-17W6/0"
"59","00/04-27-079-14W6/0"
"60","00/05-16-079-11W6/0"
"61","00/05-29-080-18W6/0"
"62","00/05-30-079-14W6/0"
"63","00/07-01-080-15W6/0"
"64","00/07-13-079-15W6/0"
"65","00/07-32-079-14W6/0"
"66","00/09-18-080-14W6/0"
"67","00/10-24-079-15W6/0"
"68","00/11-07-080-18W6/0"
"69","00/11-28-079-14W6/0"
"70","00/13-15-079-14W6/0"
"71","00/13-21-080-18W6/0"
"72","00/13-24-080-15W6/0"
"73","00/14-25-079-15W6/0"
"74","00/14-26-079-15W6/0"
"75","00/15-12-079-15W6/0"
"76","00/15-21-079-14W6/0"
"77","00/16-12-079-16W6/0"
"78","02/03-28-080-18W6/0"
"79","02/12-06-080-15W6/2"
"80","02/14-21-080-18W6/0"
"81","03/14-21-080-18W6/0"
"82","05/09-14-080-18W6/0"
"83","00/02-17-081-20W6/0"
"84","00/05-20-082-20W6/0"
"85","00/08-35-081-19W6/0"
"86","00/12-31-083-25W6/0"
"87","00/A-078-A/093-P-09/0"
"88","00/C-085-I/093-P-07/0"
"89","00/A-006-G/094-B-16/0"
"90","00/A-060-F/093-P-09/0"
"91","00/A-079-L/094-A-04/0"
"92","00/A-093-C/094-B-16/0"
"93","00/B-027-H/093-P-09/0"
"94","00/B-033-H/093-P-09/0"
"95","00/C-005-A/094-B-08/0"
"96","00/C-012-G/093-P-09/0"
"97","00/C-026-B/094-B-16/0"
"98","00/D-083-F/094-B-16/0"
"99","02/A-052-I/094-B-01/0"
"100","02/B-026-H/093-P-09/0"
"101","02/C-005-A/094-B-08/0"
"102","02/C-026-B/094-B-16/0"
"103","02/D-004-A/094-B-08/0"
"104","04/A-079-L/094-A-04/0"
"105","05/A-100-H/094-B-09/0"
"106","00/05-14-072-09W6/0"
"107","00/B-100-K/094-G-07/0"
"108","00/D-002-E/094-G-08/0"
"109","00/D-047-G/094-G-07/0"
"110","00/D-081-G/094-B-09/0"
"111","02/B-003-A/094-G-08/0"
"112","02/C-081-G/094-B-09/2"
"113","02/D-082-G/094-B-09/0"
