"","x"
"1","00/01-01-060-20W5/0"
"2","00/01-05-059-20W5/0"
"3","00/01-11-060-22W5/0"
"4","00/01-19-059-19W5/0"
"5","00/01-21-059-19W5/0"
"6","00/01-23-063-23W5/0"
"7","00/01-28-063-20W5/2"
"8","00/01-29-065-23W5/2"
"9","00/01-36-062-20W5/0"
"10","00/02-01-063-20W5/0"
"11","00/02-21-061-26W5/0"
"12","00/02-22-069-25W5/0"
"13","00/02-29-069-25W5/0"
"14","00/02-34-059-22W5/0"
"15","00/02-35-064-18W5/2"
"16","00/03-18-061-26W5/0"
"17","00/03-34-067-24W5/0"
"18","00/04-02-066-25W5/0"
"19","00/04-05-063-22W5/0"
"20","00/04-08-060-22W5/0"
"21","00/04-09-064-23W5/0"
"22","00/04-30-066-23W5/0"
"23","00/04-31-059-19W5/0"
"24","00/04-32-075-20W5/0"
"25","00/04-36-063-23W5/0"
"26","00/05-09-064-23W5/0"
"27","00/05-10-066-25W5/0"
"28","00/05-25-063-23W5/0"
"29","00/05-29-059-22W5/0"
"30","00/05-34-066-24W5/0"
"31","00/06-01-066-25W5/0"
"32","00/07-02-060-20W5/0"
"33","00/08-13-060-19W5/0"
"34","00/08-31-061-26W5/2"
"35","00/08-31-075-20W5/0"
"36","00/08-36-063-23W5/2"
"37","00/09-04-060-24W5/0"
"38","00/09-10-064-25W5/0"
"39","00/09-25-061-27W5/0"
"40","00/09-27-058-21W5/0"
"41","00/09-31-075-20W5/0"
"42","00/09-35-066-24W5/0"
"43","00/10-09-062-26W5/0"
"44","00/10-16-061-27W5/0"
"45","00/11-10-066-25W5/0"
"46","00/11-33-062-19W5/0"
"47","00/12-19-059-19W5/0"
"48","00/12-35-059-20W5/0"
"49","00/13-08-061-18W5/0"
"50","00/13-10-060-20W5/0"
"51","00/13-12-060-20W5/0"
"52","00/13-18-064-18W5/0"
"53","00/13-23-065-24W5/0"
"54","00/13-25-059-20W5/0"
"55","00/13-31-059-19W5/0"
"56","00/13-33-060-22W5/0"
"57","00/13-35-059-20W5/0"
"58","00/14-22-064-18W5/2"
"59","00/14-26-059-20W5/0"
"60","00/14-35-063-25W5/2"
"61","00/15-06-068-24W5/0"
"62","00/15-14-064-20W5/2"
"63","00/15-25-059-20W5/0"
"64","00/15-27-063-20W5/0"
"65","00/16-07-060-19W5/0"
"66","00/16-12-066-25W5/0"
"67","00/16-16-067-24W5/0"
"68","00/16-18-059-19W5/0"
"69","00/16-21-064-18W5/0"
"70","00/16-26-059-20W5/3"
"71","00/16-30-060-22W5/0"
"72","00/16-33-063-20W5/0"
"73","00/16-35-065-24W5/0"
"74","00/16-35-066-24W5/0"
"75","00/16-36-061-19W5/2"
"76","00/16-36-063-23W5/0"
"77","02/01-01-060-20W5/0"
"78","02/01-13-059-21W5/0"
"79","02/02-05-063-20W5/0"
"80","02/02-24-067-25W5/0"
"81","02/03-11-064-18W5/0"
"82","02/04-11-063-20W5/0"
"83","02/04-20-064-18W5/0"
"84","02/05-02-064-18W5/0"
"85","02/06-06-067-24W5/0"
"86","02/07-13-067-24W5/0"
"87","02/09-07-065-24W5/0"
"88","02/09-25-066-24W5/0"
"89","02/09-29-071-25W5/0"
"90","02/10-13-066-25W5/0"
"91","02/13-12-064-25W5/0"
"92","02/13-35-059-20W5/0"
"93","02/14-25-059-20W5/0"
"94","02/14-29-069-25W5/0"
"95","02/14-36-062-26W5/0"
"96","02/15-19-066-23W5/0"
"97","02/15-31-065-24W5/0"
"98","02/16-02-066-25W5/0"
"99","02/16-15-069-25W5/0"
"100","02/16-20-069-25W5/0"
"101","03/02-11-064-18W5/0"
"102","03/04-18-064-17W5/0"
"103","03/05-23-069-25W5/0"
"104","03/14-27-063-20W5/0"
"105","00/01-05-060-01W6/2"
"106","00/01-06-081-23W5/0"
"107","00/01-11-077-21W5/0"
"108","00/01-14-078-21W5/0"
"109","00/01-15-061-03W6/2"
"110","00/01-15-076-20W5/0"
"111","00/01-15-083-23W5/0"
"112","00/01-16-077-21W5/0"
"113","00/01-17-076-20W5/0"
"114","00/01-20-076-20W5/0"
"115","00/01-27-063-04W6/2"
"116","00/02-10-077-21W5/0"
"117","00/02-11-078-21W5/0"
"118","00/02-16-066-03W6/0"
"119","00/02-27-063-04W6/0"
"120","00/02-30-060-02W6/0"
"121","00/03-05-068-04W6/0"
"122","00/03-13-066-05W6/3"
"123","00/03-24-066-05W6/2"
"124","00/03-30-066-06W6/2"
"125","00/03-34-080-24W5/0"
"126","00/03-36-076-21W5/0"
"127","00/04-03-081-24W5/0"
