UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
00/01-25-055-26W5/2,All Montney,4,,50,345.295,,,
02/01-25-055-26W5/0,All Montney,,,,,,,
00/06-25-055-26W5/2,All Montney,11,,47.75454545,476.2181818,5.207354211,65.73908732,69.87393383
00/06-25-055-26W5/3,All Montney,1,,58.7,407.31,6.55,36.2,50.6
00/16-25-057-26W5/0,All Montney,17,,139.6117647,965.7947059,11.51093688,53.68774561,62.22785688
00/04-11-057-27W5/2,All Montney,1,,37.2,514.53,2.387453316,,66.56691546
00/06-12-057-27W5/3,All Montney,16,,55,85.745625,,,
02/04-14-057-27W5/0,All Montney,,,,,,,
00/05-23-057-27W5/0,All Montney,13,,149.7784615,1159.527692,9.28631736,62.88908663,66.67398674
02/08-30-057-27W5/2,All Montney,,,,,,,
00/13-30-058-19W5/0,All Montney,18,,10,28.55555556,,,
00/08-32-058-19W5/0,All Montney,12,,8.25,,,,
02/16-23-058-20W5/0,All Montney,,,,,,,
02/16-23-058-20W5/3,All Montney,7,,,50.42857143,,,
02/13-26-058-20W5/0,All Montney,7,,15.8,44.06714286,1.9,36.41428571,28.7
00/04-30-058-20W5/0,All Montney,13,,8.9,83.09230769,2.6,46.00964187,
00/12-36-058-20W5/0,All Montney,11,,11,41.63636364,,,
00/13-36-058-20W5/0,All Montney,11,,16,44.77272727,1.85,29.08333333,24
00/09-23-058-21W5/0,All Montney,13,,21,62.6,3.876656213,38.70490403,43.1152503
04/13-23-058-21W5/0,All Montney,13,,10,75.76923077,,,
00/06-27-058-21W5/0,All Montney,6,,20.12383333,75.18233333,4.310427627,49.43440223,36.30517431
00/09-27-058-21W5/0,All Montney,12,,21,72.18583333,,,
00/13-27-058-21W5/0,All Montney,5,,0.14,87.3,1.455,56,35
00/07-33-058-21W5/0,All Montney,10,,22.21,76.29,,42.96363636,
00/02-34-058-21W5/0,All Montney,5,,23.344,81.18,1.59,54.7,36.9
00/16-34-058-21W5/0,All Montney,1,,131.33,542.6,5.2,31.3,31.85
00/15-35-058-21W5/0,All Montney,12,,15.83333333,101.6108333,2.580731272,46.12310096,36.53108375
00/16-35-058-21W5/0,All Montney,28,,10,48.26428571,,,
00/13-18-058-24W5/2,All Montney,4,,46.56575,161.98,2.984382567,50.9,61.95
00/08-19-058-24W5/0,All Montney,16,,16,69.9,,,
02/04-25-058-25W5/0,All Montney,,,,,,,
00/14-26-058-25W5/2,All Montney,21,,99.81642857,860.2920952,6.091748584,50.5939163,52.84729179
00/13-36-058-25W5/0,All Montney,20,,50,297.66,6.222239864,45.58068405,50.33911285
00/05-17-058-27W5/0,All Montney,,,,,,,
00/12-20-058-27W5/2,All Montney,17,,55,104.0588235,,,
00/12-20-058-27W5/3,All Montney,2,,130,481,,,
00/16-24-058-27W5/2,All Montney,17,,55,110.2941176,1.12,43,
00/13-03-059-19W5/0,All Montney,12,,11,40.33333333,,38.96666667,27.64166667
00/01-04-059-19W5/0,All Montney,,,,,,,
00/03-04-059-19W5/2,All Montney,11,,11,47.88181818,,,
00/04-04-059-19W5/0,All Montney,13,,11,36.17692308,,,
03/14-04-059-19W5/0,All Montney,,,,,,,
00/16-04-059-19W5/2,All Montney,13,,11,48.31538462,,,
00/01-05-059-19W5/0,All Montney,7,,10.9,35.99428571,,,
00/13-05-059-19W5/0,All Montney,13,,10,33.85384615,,,
00/16-07-059-19W5/0,All Montney,14,,11,20.40714286,,,
00/04-14-059-19W5/0,All Montney,16,,,47.0625,,,
00/01-17-059-19W5/0,All Montney,7,,10.01857143,39.28571429,,34.75,
00/04-18-059-19W5/0,All Montney,18,,10,31.22222222,2.6,33.0863879,27.14581851
00/05-18-059-19W5/0,All Montney,17,,10.08235294,32.4,2.6,32.15392157,27.95444808
00/12-18-059-19W5/0,All Montney,16,,10,31.14375,2.6,34.33608268,27.45478627
00/13-18-059-19W5/0,All Montney,16,,9.5625,38.6875,2.644675525,34.17375313,27.8306374
00/16-18-059-19W5/0,All Montney,12,,10,55.66666667,,,
00/01-19-059-19W5/0,All Montney,22,,10,44.77272727,,,
00/08-19-059-19W5/0,All Montney,12,,10,49.08333333,,,
00/12-19-059-19W5/0,All Montney,17,,7.941176471,29.22941176,3.888931375,31.60344134,26.61434896
00/13-19-059-19W5/0,All Montney,22,,10,47.87272727,,,
00/01-20-059-19W5/0,All Montney,17,,10,38.05294118,2.7,32.94176843,29.86588344
00/01-21-059-19W5/0,All Montney,20,,10,41.855,,,
00/12-27-059-19W5/0,All Montney,5,,10.5,51.548,2,45.24,
00/13-30-059-19W5/2,All Montney,32,,9.3846875,34.89375,2.650857962,34.24188608,28.47009672
00/15-30-059-19W5/0,All Montney,,,,,,,
00/04-31-059-19W5/0,All Montney,22,,10,39.93181818,,,
00/13-31-059-19W5/0,All Montney,16,,10.03125,34.2875,2.6,30.92347794,23.35752825
00/09-34-059-19W5/2,All Montney,7,,8.8,43.45428571,2,,26.3
00/01-35-059-19W5/0,All Montney,16,,6.3,26.825,,,
00/01-05-059-20W5/0,All Montney,15,,8.933333333,53.33333333,,39.2,
00/08-05-059-20W5/0,All Montney,18,,9.888888889,55.38888889,,,
00/04-08-059-20W5/0,All Montney,16,,10.38125,67.39375,2.699227884,43.27993595,34.86943634
00/02-11-059-20W5/0,All Montney,34,,14.41852941,46.97647059,2.6,36.16736789,33.18886404
00/03-11-059-20W5/0,All Montney,33,,20.02424242,60.87272727,,39.61691557,36.26182298
00/04-11-059-20W5/0,All Montney,33,,32.96969697,159.8272727,6.503907628,36.65220219,38.72362588
00/14-12-059-20W5/0,All Montney,11,,19.19090909,49.7,2.893323578,32.65745381,29.26023413
