"","x"
"1","00/14-31-063-04W6/0"
"2","00/12-18-064-04W6/0"
"3","00/11-11-064-05W6/0"
"4","00/16-14-066-05W6/0"
"5","03/01-06-076-13W6/2"
"6","00/02-20-076-13W6/0"
"7","00/01-15-077-15W6/0"
"8","02/01-15-077-15W6/0"
"9","00/12-21-077-15W6/0"
"10","00/01-32-077-15W6/0"
"11","00/09-32-077-15W6/0"
"12","00/10-35-077-15W6/0"
"13","00/11-03-078-15W6/0"
"14","02/04-16-078-17W6/0"
"15","03/04-16-078-17W6/0"
"16","00/16-35-078-17W6/0"
"17","02/11-23-078-19W6/0"
"18","00/01-25-078-19W6/0"
"19","00/16-12-079-15W6/0"
"20","00/01-13-079-15W6/0"
"21","00/03-06-079-16W6/0"
"22","00/07-08-079-16W6/0"
"23","00/14-08-079-16W6/0"
"24","00/06-17-079-16W6/0"
"25","00/11-17-079-16W6/0"
"26","00/13-06-079-17W6/0"
"27","00/04-14-079-17W6/0"
"28","00/04-17-079-17W6/0"
"29","02/02-23-079-17W6/0"
"30","00/04-23-079-17W6/0"
"31","00/05-25-079-17W6/0"
"32","02/11-28-079-17W6/0"
"33","02/01-35-079-17W6/0"
"34","00/05-04-079-18W6/0"
"35","00/04-17-079-18W6/0"
"36","03/05-17-079-18W6/0"
"37","04/05-17-079-18W6/0"
"38","02/08-13-080-16W6/0"
"39","00/01-32-080-16W6/0"
"40","02/09-32-080-16W6/0"
"41","00/16-06-080-17W6/0"
"42","02/01-08-080-17W6/0"
"43","03/01-08-080-17W6/0"
"44","02/05-10-080-17W6/0"
"45","00/02-15-080-17W6/2"
"46","02/07-29-080-18W6/0"
"47","02/08-08-080-19W6/0"
"48","00/09-08-080-19W6/0"
"49","02/13-09-080-19W6/0"
"50","00/02-32-080-21W6/0"
"51","02/16-02-081-16W6/0"
"52","00/04-31-081-17W6/0"
"53","00/16-15-081-19W6/0"
"54","00/15-20-081-19W6/0"
"55","00/11-31-081-19W6/0"
"56","02/09-35-081-19W6/0"
"57","03/08-03-082-18W6/0"
"58","02/06-03-082-19W6/0"
"59","00/04-07-082-19W6/0"
"60","00/09-25-083-25W6/0"
"61","02/13-32-083-25W6/0"
"62","00/14-33-083-25W6/0"
"63","00/B-088-H/093-P-01/0"
"64","00/B-052-I/093-P-06/3"
"65","02/D-051-A/093-P-09/0"
"66","02/A-045-B/093-P-09/0"
"67","00/B-090-B/093-P-09/2"
"68","00/D-099-B/093-P-09/0"
"69","00/A-082-C/093-P-09/0"
"70","00/A-023-F/093-P-09/0"
"71","02/A-023-F/093-P-09/0"
"72","02/A-011-G/093-P-09/0"
"73","00/C-011-G/093-P-09/0"
"74","00/D-011-G/093-P-09/0"
"75","00/C-021-G/093-P-09/0"
"76","00/A-033-G/093-P-09/0"
"77","02/C-037-G/093-P-09/0"
"78","02/D-037-G/093-P-09/0"
"79","02/B-027-H/093-P-09/0"
"80","02/B-006-E/093-P-10/0"
"81","00/C-020-E/094-A-12/0"
"82","00/D-044-I/094-A-13/0"
"83","00/C-031-A/094-B-08/0"
"84","02/A-096-G/094-B-08/0"
"85","00/D-096-G/094-B-08/2"
"86","00/B-100-G/094-B-08/2"
"87","00/C-045-H/094-B-08/0"
"88","00/C-045-H/094-B-08/2"
"89","02/C-045-H/094-B-08/0"
"90","00/B-012-K/094-B-08/2"
"91","00/A-013-K/094-B-08/0"
"92","00/C-031-E/094-B-09/0"
"93","00/A-034-H/094-B-09/0"
"94","00/A-012-I/094-B-09/0"
"95","00/D-045-I/094-B-09/0"
"96","02/A-097-J/094-B-09/0"
"97","00/A-099-A/094-B-16/0"
"98","00/C-100-B/094-B-16/0"
"99","02/C-100-B/094-B-16/0"
"100","03/A-032-C/094-B-16/0"
"101","00/D-032-C/094-B-16/0"
"102","02/B-093-C/094-B-16/0"
"103","00/A-033-F/094-B-16/0"
"104","02/A-033-F/094-B-16/0"
"105","02/D-053-F/094-B-16/0"
"106","00/C-080-G/094-B-16/0"
"107","00/D-080-G/094-B-16/2"
"108","02/A-034-H/094-B-16/0"
"109","00/C-068-H/094-B-16/0"
"110","00/B-029-J/094-B-16/0"
"111","00/A-089-J/094-B-16/0"
"112","00/B-076-K/094-B-16/0"
"113","02/A-085-K/094-B-16/0"
"114","00/C-047-L/094-B-16/2"
"115","02/C-047-L/094-B-16/0"
"116","00/D-047-L/094-B-16/0"
"117","00/A-031-A/094-G-01/0"
"118","00/A-032-A/094-G-01/2"
"119","02/A-032-A/094-G-01/0"
"120","00/B-095-A/094-G-01/0"
"121","00/A-096-A/094-G-01/2"
"122","02/A-096-A/094-G-01/2"
"123","00/B-033-F/094-G-01/0"
"124","00/B-073-G/094-G-01/2"
"125","00/A-004-H/094-G-01/0"
"126","00/D-029-H/094-G-01/0"
"127","02/A-070-K/094-G-02/0"
"128","00/A-074-L/094-G-07/0"
"129","02/A-074-L/094-G-07/0"
"130","00/B-013-H/094-G-08/0"
"131","00/C-070-C/094-G-10/0"
"132","02/A-028-A/094-H-04/0"
"133","00/B-033-D/094-H-04/2"
"134","00/D-067-D/094-H-04/0"
"135","02/C-033-H/094-H-04/0"
"136","00/B-085-H/094-H-04/0"
"137","02/D-086-H/094-H-04/0"
